"Order #","MSS PO","Enrollment #","Order Recv. Date","Date ORD ACK","Customer Name","SKU Ordered",Appliance,Qty,"Service SKU","Service Level",Address,City,State,Postal,Country,"Serial #","Expected ship date","Actual Ship Date","INCO Terms",Carrier,"Tracking #","Customs Arrival Date","Final Delivery Date"
013613,6000415475,55194397,01/05/2017,01/06/2017,"Computerland UK Ltd",3M2-00001,8100,2.00,3M2-00005,Standard,"Finch House, Finch Close, Lenton La",Nottingham,NTT,"NG7 2NN","United Kingdom","SHG0997879L7JAS
SHG0997879L7J83",,01/09/2017,DAP,DHL,7216381410,01/10/2017,01/11/2017
013612,6000415474,92133365,01/05/2017,01/06/2017,"MCE Leisure (Philippines) Corporati, ATTN: Mark Christian Saberon",3M2-00001,8100,1.00,3M2-00006,Premium,"Asean Avenue corner Roxas Boulevard",Paranaque,MNL,1701,Philippines,SHG0997879L7J6N,,01/19/2017,DDP,DHL,7216381454,01/22/2017,01/30/2017
013610,6000415445,91846264,01/05/2017,01/06/2017,"RIsk Management Solutions",3M2-00001,8100,1.00,3M2-00005,Standard,"121 River Street, 14th Floor",Hoboken,NJ,07030,"United States",SHG0997879L7J4Q,,01/10/2017,,FEDEX,701542245809,01/12/2017,01/12/2017
013609,6000415447,92133365,01/05/2017,01/06/2017,"Melco Crown (COD) Developments Limi",3M2-00001,8100,1.00,3M2-00006,Premium,"COTAI CITY OF DREAMS BAIA, DE NOSSA",Macau,,,Macao,SHG0997879L7J2P,,01/09/2017,DAP,DHL,7216381421,02/13/2017,02/13/2017
013608,6000415446,91846264,01/05/2017,01/06/2017,"RIsk Management Solutions",3M2-00002,8600,6.00,3M2-00005,Standard,"7575 Gateway Blvd.",Newark,CA,94560,"United States","SHG0997877L7JDY
SHG0997877L7JDD
SHG0997877L7JGB
SHG0997877L7JEW
SHG0997877L7JFH
SHG0997877L7JG9",,01/09/2017,,FEDEX,701542245810,01/12/2017,01/12/2017
013607,6000415419,91846264,01/05/2017,01/06/2017,"RIsk Management Solutions",3M2-00001,8100,1.00,3M2-00005,Standard,"7575 Gateway Blvd.",Newark,CA,94560,"United States",SHG0997879L7J2C,,01/10/2017,,FEDEX,701542245875,01/13/2017,01/13/2017
013606,6000415418,67283216,01/05/2017,01/06/2017,"EastBanc Technologies, LLC",3M2-00002,8600,1.00,3M2-00005,Standard,"1211 31st St. NW",Washington,DC,20007,"United States",SHG0997877L7H84,,01/09/2017,,FEDEX,701542245588,01/12/2017,01/12/2017
013605,6000415416,88743429,01/05/2017,01/06/2017,"TransAlta Corporation",3M2-00002,8600,1.00,3M2-00006,Premium,"110 - 12 Ave SW",Calgary,AB,T2P2M1,Canada,SHG0997877L7JDV,,01/09/2017,,FEDEX,701542245647,01/11/2017,01/11/2017
013604,6000415417,57840835,01/05/2017,01/06/2017,Bioclinica,3M2-00002,8600,1.00,3M2-00005,Standard,"800 Adams Avenue",Audubon,PA,19403,"United States",SHG0997877L7JEX,,01/09/2017,,FEDEX,701542245577,01/12/2017,01/12/2017
013603,6000415231,SHG0997877L78YQ,01/04/2017,01/05/2017,Microsoft,,,,3M2-00007,"Upgrade (Std to Premium)","One Microsoft Way",Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013602,6000415232,SHG0997877L7CY0,01/04/2017,01/05/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013601,6000415230,SHG0997877L7CX1,01/04/2017,01/05/2017,Microsoft,,,,3M2-00006,Premium,Microsoft,Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013600,6000415229,SHG0997879L78C4,01/04/2017,01/05/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013599,6000415228,SHG0997877L7841,01/04/2017,01/05/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013598,6000415227,SHG0997879L72V4,01/04/2017,01/05/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013597,6000415226,89912948,01/04/2017,01/05/2017,"McLaren Construction UK Limited",3M2-00002,8600,1.00,3M2-00005,Standard,"6090 Knights Court, Birmingham Busi",Birmingham,,"B37 7WY","United Kingdom",SHG0997877L7H47,,01/09/2017,DAP,DHL,7216381384,01/12/2017,01/18/2017
013596,6000415225,57714163,01/04/2017,01/05/2017,"Politecnico di Bari",3M2-00002,8600,1.00,3M2-00005,Standard,"Via Edoardo Orabona, 4",Bari,BA,70126,Italy,SHG0997877L7H7D,,01/09/2017,DDP,DHL,7216381373,01/11/2017,01/19/2017
013595,6000415224,8710385,01/04/2017,01/06/2017,INVITALIA,3M2-00002,8600,1.00,3M2-00006,Premium,"via Calabria, 46",Roma,RM,00187,Italy,SHG0997877L7JFN,,01/09/2017,DDP,DHL,7216381362,01/11/2017,01/16/2017
013594,6000415223,54692312,01/04/2017,01/06/2017,"Atea Sverige AB",3M2-00001,8100,1.00,3M2-00006,Premium,"Igelbäcksgatan 8, Lastkaj 1",Kista,AB,016446,Sweden,SHG0997879L7J2D,,01/09/2017,DDP,DHL,7216381351,01/11/2017,01/17/2017
013591,6000415045,SHG0997879L7F10,01/04/2017,01/04/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013589,6000414691,SHG0997879L71Y3,01/03/2017,01/03/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013588,6000414690,SHG0997879L713T,01/03/2017,01/03/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013587,6000414689,SHG0997879L71BT,01/03/2017,01/03/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013586,6000414687,SHG0997879L7100,01/03/2017,01/03/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013585,6000414686,SHG0997879L72Q0,01/03/2017,01/03/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
